card_id,benefit_seq,category,benefit_type,rate,is_selectable,icon_type,dt_class,summary,detail
2441,2,음식점,할인,10%,N,기본혜택,,10%할인,"음식점, 편의점 10% 할인
- 음식점(한식, 일식, 중식, 양식, 뷔페, 패밀리레스토랑, 일반음식점 업종), 편의점(GS25, CU)
※ 백화점/대형마트 등 일부 입점 매장 제외"
2441,3,기타,할인,,Y,기본혜택,,1개선택할인,
2663,1,기타,기타,,N,기본혜택,,연간 25만원상당,"연간 25만원 상당 바우처 제공(연 1회)
바우처 | 20만원권 1매
[트래블]
- ﻿﻿JW 메리어트 호텔 서울, 그랜드 인터컨티넨탈 서울 파르나스, 그랜드 하얏트 서울, 포시즌스 호텔 서울, 레스케이프 호텔*, 롯데호텔 서울*, 웨스틴 조선 서울*, 그랜드 조선 부산, 파라다이스 호텔 부산*, 웨스틴 조선 부산*, JW 메리어트 제주 리조트&스파*, 그랜드하얏트 제주* 등 
- 신라면세점
- ﻿﻿더현대트래블(항공/호텔)
[쇼핑]
- 케이스티파이*, 이노메싸*, 티노파이브*, 올리브영*, 무신사*, 29CM*, 솔드아웃*

바우처 II 5만원권 1매
[쇼핑]
한섬 편집샵(무이, 톰그레이하운드), 더한섬닷컴, 무신사 엠프티*, 설화수*, 쌤소나이트*
[멤버십]
네이버플러스 멤버십*, 코스트코 멤버십*
* 일부 사용처는 프로모션 기간(2025.11.27 ~ 2026.6.30)동안 운영되오니, 자세한 내용은 현대카드 홈페이지를 통해 확인해 주세요.

제공 조건 및 시기
발급 첫해 : 누적 이용 금액 250만원 이상 시, 실적 달성일 기준 2영업일 후 바우처 제공(1회)
2차년도 이후 : 전년도(카드 발급 확정 포함 12개월) 이용 금액 2,400만원 이상 시 제공되며, 전년도 이용 금액 산정 시작월부터 13개월 차에 바우처 제공

바우처 사용 방법
- 현대카드 홈페이지 > 고객지원 > 뉴스﹒공지 > 해당 상품 바우처 안내 확인

보유 바우처 확인
- 현대카드 홈페이지 > 혜택 > 혜택 안내 > 보유 바우처
-현대카드 앱 > 메뉴(좌측 상단) > 혜택 안내 > 보유 바우처

유의사항
- 바우처는 본인 회원에게 모바일 바우처로 제공
- 카드 상태가 정상인 경우에 한해 바우처 제공 즉시 사용 가능하며, American Express® Gold Card Edition2 본인 카드 결제 시에만 사용 가능 (본인 회원 탈회, 유효 기간 만료, 거래 정지 등 카드의 정상적인 이용이 불가능한 경우 또는 가족 카드로 사용 불가)
- 연간 이용 금액 산정은 ‘혜택 제공 기준’ 내 이용 금액 산정 및 합산 제외 기준 적용
- 바우처는 권면 금액 이상 결제 승인 건당 1매에 한해 사용 가능하며,초과 금액은 본인 카드로 결제 필수
- 바우처는 현금 교환,타인에게 양도 및 판매 불가
- 바우처 사용 후 카드 해지 시 연회비 납부 여부에 따라 환불 또는 청구
- 연회비 납부 후 카드 해지 시 : 사용한 바우처의 권면 금액 제외 후 잔여 기간에 대해 일할 계산하여 연회비 환불
- 연회비 납부 전 카드 해지 시 : 사용한 바우처의 권면 금액만큼 청구되며, 연회비는 카드 이용 기간에 대해 일할 계산하여 청구
- 연간 이용 금액 산정 및 바우처 제공 관련 상세 내용은 현대카드 홈페이지를 통해 확인"
2663,2,기타,기타,,N,기본혜택,,연 10회무료 이용,"연간 25만원 상당 바우처 제공(연 1회)
바우처 | 20만원권 1매
[트래블]
- ﻿﻿JW 메리어트 호텔 서울, 그랜드 인터컨티넨탈 서울 파르나스, 그랜드 하얏트 서울, 포시즌스 호텔 서울, 레스케이프 호텔*, 롯데호텔 서울*, 웨스틴 조선 서울*, 그랜드 조선 부산, 파라다이스 호텔 부산*, 웨스틴 조선 부산*, JW 메리어트 제주 리조트&스파*, 그랜드하얏트 제주* 등 
- 신라면세점
- ﻿﻿더현대트래블(항공/호텔)
[쇼핑]
- 케이스티파이*, 이노메싸*, 티노파이브*, 올리브영*, 무신사*, 29CM*, 솔드아웃*

바우처 II 5만원권 1매
[쇼핑]
한섬 편집샵(무이, 톰그레이하운드), 더한섬닷컴, 무신사 엠프티*, 설화수*, 쌤소나이트*
[멤버십]
네이버플러스 멤버십*, 코스트코 멤버십*
* 일부 사용처는 프로모션 기간(2025.11.27 ~ 2026.6.30)동안 운영되오니, 자세한 내용은 현대카드 홈페이지를 통해 확인해 주세요.

제공 조건 및 시기
발급 첫해 : 누적 이용 금액 250만원 이상 시, 실적 달성일 기준 2영업일 후 바우처 제공(1회)
2차년도 이후 : 전년도(카드 발급 확정 포함 12개월) 이용 금액 2,400만원 이상 시 제공되며, 전년도 이용 금액 산정 시작월부터 13개월 차에 바우처 제공

바우처 사용 방법
- 현대카드 홈페이지 > 고객지원 > 뉴스﹒공지 > 해당 상품 바우처 안내 확인

보유 바우처 확인
- 현대카드 홈페이지 > 혜택 > 혜택 안내 > 보유 바우처
-현대카드 앱 > 메뉴(좌측 상단) > 혜택 안내 > 보유 바우처

유의사항
- 바우처는 본인 회원에게 모바일 바우처로 제공
- 카드 상태가 정상인 경우에 한해 바우처 제공 즉시 사용 가능하며, American Express® Gold Card Edition2 본인 카드 결제 시에만 사용 가능 (본인 회원 탈회, 유효 기간 만료, 거래 정지 등 카드의 정상적인 이용이 불가능한 경우 또는 가족 카드로 사용 불가)
- 연간 이용 금액 산정은 ‘혜택 제공 기준’ 내 이용 금액 산정 및 합산 제외 기준 적용
- 바우처는 권면 금액 이상 결제 승인 건당 1매에 한해 사용 가능하며,초과 금액은 본인 카드로 결제 필수
- 바우처는 현금 교환,타인에게 양도 및 판매 불가
- 바우처 사용 후 카드 해지 시 연회비 납부 여부에 따라 환불 또는 청구
- 연회비 납부 후 카드 해지 시 : 사용한 바우처의 권면 금액 제외 후 잔여 기간에 대해 일할 계산하여 연회비 환불
- 연회비 납부 전 카드 해지 시 : 사용한 바우처의 권면 금액만큼 청구되며, 연회비는 카드 이용 기간에 대해 일할 계산하여 청구
- 연간 이용 금액 산정 및 바우처 제공 관련 상세 내용은 현대카드 홈페이지를 통해 확인"
2663,3,멤버십,적립,,N,기본혜택,,최대 3MR적립,"기본 혜택
- 전월 이용 금액 50만원 이상 시 국내외 가맹점 이용 금액 1,000원당 1 멤버십 리워즈(MR) 적립
- 기본 혜택 대상점은 추가 혜택 대상점 외 국내외 가맹점임
- 적립 한도 없이 혜택 제공

추가 혜택
- 전월 이용 금액 50만원 이상 시 5개 영역* 이용 금액 1,000원 당 3멤버십 리워즈(MR) 적립
* 해외 가맹점, 국내 특급호텔, 여행・항공사, 골프・골프연습장, 면세점
- 영역별 월 4,500 멤버십 리워즈(MR) 한도 내 적립(초과 시 1,000원당 1멤버십 리워즈(MR) 적립)
- 국내 특급호텔, 여행・항공사, 골프・골프연습장, 면세점 업종은 국내 가맹점에서 원화 결제 시에만 추가 혜택 적용
- 추가 혜택 대상 가맹점 및 업종 이용 시 기본 혜택은 중복 제공되지 않음

공통 유의사항
- 전월 이용 금액 50만원 미만 시 기본ㆍ추가 혜택 제외
- 모든 가맹점은 현대카드 가맹점 등록 및 업종 분류 기준
- 해외 가맹점 및 해외 온라인 사이트에서 원화로 결제 시 기본 혜택 대상점으로 구분되어 기본 혜택 적용
- 간편결제서비스(네이버페이, 스마일페이 등)로 결제 시 기본 혜택 대상점으로 구분되어 기본 혜택 적용
- 국제브랜드 수수료 및 해외서비스 수수료는 전월 이용 금액에 포함되지 않으며, 멤버십 리워즈(MR) 적립 제외

이용 금액 산정 기준
- 연간 이용 금액은 카드 발급 확정월 포함 12개월까지 American Express ® Gold Card Edition2(본인+가족 카드)의 일시불 및 할부 이용 금액임
- 전월 이용 금액은 전월 1일~말일까지 American Express ® Gold Card Edition2 (본인+가족 카드)의 일시불 및 할부 이용 금액임
- 할부, 일부결제금액이월약정(리볼빙) 이용 시 최초 승인일 기준으로 해당월의 이용 금액에 포함
- 전표 매입 지연, 매출 취소의 경우 이용 금액이 달라질 수 있음
- 결제 취소 시, 취소 발생월이 아닌 승인월 이용 금액에서 제외되며, 취소 금액으로 전월 이용 금액 미충족 시 당월 혜택 미제공(단, 해외 이용 금액은 취소 발생월 이용 금액에서 제외)
- 대중교통 등 사후 승인 가맹점 이용 금액은 매출전표 접수일 기준으로 해당월의 이용 금액에 포함

이용 금액 합산 제외 기준
- 장기카드대출(카드론), 단기카드대출(현금서비스), 연회비, 제수수료, 이자, 공과금 납부액(국세, 관세, 지방세, 지방세외수입, 상하수도 요금, 벌과금, 과태료, 인지세, 송달료, 민원 발급 수수료 등 국가 또는 공공단체가 부과하는 부담금), 상품권 등 현금성 유가증권 구매 및 선불 카드 충전 금액

적립 제외 기준
- 장기카드대출(카드론), 단기카드대출(현금서비스), 연회비, 제수수료, 이자, 공과금 납부액(국세, 관세, 지방세, 지방세외수입, 상하수도 요금, 벌과금, 과태료, 인지세, 송달료, 민원 발급 수수료 등 국가 또는 공공단체가 부과하는 부담금), 전기 요금, 도시가스 요금, 아파트 관리비, 사립유치원 교육비 납입금, 초·중·고교 학교 납입금, 대학·대학원 등록금 납부 결제건, 자동납부서비스 이용 수수료, 상품권 등 현금성 유가증권 구매 및 선불 카드 충전 금액, 건강보험, 국민연금, 고용보험, 산재보험 및 장애인 고용 부담금, 고속도로 통행 요금, 후불하이패스 카드 이용 금액, 고속버스(차내 단말기 및 고속버스 앱 결제 포함), 당사의 모든 할인 서비스 및 무이자 할부 이용 금액"
2886,1,푸드,할인,10%,N,,,음식점 또는 온라인몰,금/토/일 10%할인
2886,2,기타,할인,5%,N,,,생활 편의 영역,5%할인
2886,3,기타,할인,50%,N,,,인앱 결제/디지털콘텐츠,50%할인
2886,4,기타,기타,,N,,,전월실적,30만원 이상
2886,5,푸드,할인,5%,N,,,"선택형
[SELECT] 선택 옵션에 따른 할인 혜택 제공 (택 1)
음식점, 온라인몰(패션/쇼핑), 온라인 간편결제","선택 옵션에 따른 할인 혜택 제공 (택 1)
- 음식점 주중 5%/주말 10%, 온라인 패션몰/온라인 쇼핑몰 5% 결제일 할인
- 온라인 패션몰/온라인 쇼핑몰 주중 5%/주말 10%, 음식점 5% 결제일 할인
- 온라인 간편결제 1% 할인

  * 선택한 옵션에 대해서만 제공
  * 옵션은 모니모 앱, 삼성카드 홈페이지 (PC, 모바일 앱을 통해 매월 변경 가능하며, 변경 신청 다음 달 1일에 자동 반영"
2886,6,푸드,할인,5%,N,,,"일반음식점
[SELECT] 금/토/일엔 외식 2배 할인","금/토/일엔 외식 2배 할인
- 음식점 주중 5%/주말 10%, 온라인 패션몰/온라인 쇼핑몰 5% 결제일 할인
할인율 구분 할인 대상
주중 (월~목요일) 주말 (금~일요일)
5% 10% 음식점 한식, 양식, 일식, 중식, 뷔페, 패밀리레스토랑, 패스트푸드
5% 온라인 패션몰 무신사, W컨셉, 나이키닷컴, SSF SHOP, 29CM, 지그재그
온라인 쇼핑몰
쿠팡, 네이버플러스 스토어, SSG.COM, G마켓, 옥션, 11번가, 컬리, 삼성카드 쇼핑

전월 이용금액대별 통합 월 할인한도
구분 30만원 이상 60만원 이상
음식점 5,000원 10,000원
음식점온라인 패션몰/온라인 쇼핑몰 5,000원
- 발급월 +1개월까지는 전월 이용금액 30만원 미만 시에도 30만원 이상 ~ 60만원 미만 실적구간 혜택 제공(전월 이용금액 60만원 이상 시에는 해당 실적구간 혜택 제공)
- 음식점은 오프라인 결제건에 한하며, 백화점, 쇼핑몰 등의 임대매장은 제외"
2886,7,쇼핑,할인,5%,N,,,"쇼핑
[SELECT] 금/토/일엔 쇼핑 2배 할인","금/토/일엔 쇼핑 2배 할인
- 온라인 패션몰/온라인 쇼핑몰 주중 5%/주말 10%, 음식점 5% 결제일 할인
할인율 구분 할인 대상
주중 (월~목요일) 주말 (금~일요일)
5% 10% 온라인 패션몰 무신사, W컨셉, 나이키닷컴, SSF SHOP, 29CM, 지그재그
온라인 쇼핑몰 쿠팡, 네이버플러스 스토어, SSG.COM, G마켓, 옥션, 11번가, 컬리, 삼성카드 쇼핑
5% 음식점 한식, 양식, 일식, 중식, 뷔페, 패밀리레스토랑, 패스트푸드

전월 이용금액대별 통합 월 할인한도
구분 30만원 이상 60만원 이상
온라인 패션몰/온라인 쇼핑몰 5,000원 10,000원
음식점 5,000원
- 발급월 +1개월까지는 전월 이용금액 30만원 미만 시에도 30만원 이상 ~ 60만원 미만 실적구간 혜택 제공(전월 이용금액 60만원 이상 시에는 해당 실적구간 혜택 제공)
- 음식점은 오프라인 결제건에 한하며, 백화점, 쇼핑몰 등의 임대매장은 제외"
2886,8,기타,할인,1%,N,,,"간편결제
[SELECT] 온라인 간편결제 1% 할인","온라인 간편결제 1% 할인
- 전월 이용금액 관계없이, 할인한도 없이 온라인 간편결제 1% 결제일할인
구분 월 할인한도
온라인 간편결제 삼성페이, 네이버페이, 카카오페이, PAYCO, 스마일페이, coupay, SSGPAY, L PAY, 토스페이
- 국내 온라인 가맹점에 한하며, 오프라인 매장 결제건(바코드, QR코드, 스마트폰NFC/MST 등)은 제외"
2886,9,기타,할인,5%,N,,,"생활
생활 편의 영역 5% 할인","생활 편의 영역 5% 할인
- 배달앱/커피전문점/택시/카셰어링 5% 결제일할인
구분 할인 대상 월 할인한도
배달앱 배달의민족, 쿠팡이츠, 요기요 5,000원
커피전문점 스타벅스, 이디야커피, 투썸플레이스, 커피빈, 블루보틀, 메가커피, 컴포즈커피 5,000원
택시 택시 5,000원
카셰어링 쏘카 5,000원
- 전월 이용금액 30만원 이상 시 제공
- 발급월 +1개월까지는 전월 이용금액 30만원 미만 시에도 제공
- 커피전문점은 오프라인 결제건에 한하며, 백화점, 할인점, 쇼핑몰 등의 임대매장은 제외(단, 스타벅스의 경우, 사이렌오더 결제건도 혜택 제공)
- 배달앱은 공식 홈페이지/앱을 통한 결제건에 한하며, 가맹점 직접 결제건은 제외
- 카셰어링은 공식 홈페이지/앱을 통한 결제건에 한함"
2886,10,기타,할인,50%,N,,,"디지털구독
인앱 결제/디지털콘텐츠 50 % 할인","인앱 결제/디지털콘텐츠 50% 할인
- 인앱 결제/디지털콘텐츠 50% 결제일할인
구분 할인 대상
인앱 결제 구글플레이, 앱스토어
디지털콘텐츠 넷플릭스, 디즈니+, 유튜브, 티빙 정기결제건

전월 이용금액대별 통합 월 할인한도
30만원 이상 60만원 이상
5,000원 10,000원
- 발급월 +1개월까지는 전월 이용금액 30만원 미만 시에도 30만원 이상 ~ 60만원 미만 실적구간 혜택 제공(전월 이용금액 60만원 이상 시에는 해당 실적구간 혜택 제공)
- 디지털콘텐츠와 유튜브는 유튜브 프리미엄 결제건에 한함
- 결제 수단에 해당 카드 등록 후 결제 시 혜택 제공(단, 간편결제건은 제외)"
2886,11,해외,할인,2%,N,,,"해외
해외 2% 할인","해외 2% 할인
- 전월 이용금액에 관계없이, 할인한도 없이 해외 2% 결제일할인
구분 할인 대상
해외 해외 가맹점 및 해외 직접구매 이용건
- 해외겸용카드에 한해 제공
- 해외 이용 시 별도의 수수료 부과, 자세한 내용은 '유의사항'에서 확인"
